cc_code,file,row,account_code,description,nonblank_months,formulas,values_vnd
1412000092,59.KDTVN 部品検査2課_MP FY2027_各予定(Ver01).xlsx,59,5004086291,"制服（冬）áo dài tay,áo mới : 175.000(tháng 10 phát cho người mới vào tháng 5/2025~)",12,"[""=175000*4"", ""=175000*4"", ""=175000*4"", ""=175000*6"", ""=175000*4"", ""=175000*4"", ""=175000*4"", ""=175000*4"", ""=175000*4"", ""=175000*4"", ""=175000*4"", ""=175000*4""]","[700000.0, 700000.0, 700000.0, 1050000.0, 700000.0, 700000.0, 700000.0, 700000.0, 700000.0, 700000.0, 700000.0, 700000.0]"
1412000092,59.KDTVN 部品検査2課_MP FY2027_各予定(Ver01).xlsx,60,5004086291,"制服(夏)Áo ngắn tay,áo mới : 165.000 


",12,"[""=165000*4"", ""=165000*4"", ""=165000*4"", ""=165000*4"", ""=165000*4"", ""=165000*4"", ""=165000*4"", ""=165000*4"", ""=165000*4"", ""=165000*4"", ""=165000*4"", ""=165000*4""]","[660000.0, 660000.0, 660000.0, 660000.0, 660000.0, 660000.0, 660000.0, 660000.0, 660000.0, 660000.0, 660000.0, 660000.0]"
1412000092,59.KDTVN 部品検査2課_MP FY2027_各予定(Ver01).xlsx,61,5004086291,"制服・ズボン,(116.000) quần ,quần bầu (124.500)",12,"[""=116000*2+124500"", ""=116000*2+124500"", ""=116000*2+124500"", ""=116000*4+124500"", ""=116000*2+124500"", ""=116000*2+124500"", ""=116000*2+124500"", ""=116000*2+124500"", ""=116000*2+124500"", ""=116000*2+124500"", ""=116000*2+124500"", ""=116000*2+124500""]","[356500.0, 356500.0, 356500.0, 588500.0, 356500.0, 356500.0, 356500.0, 356500.0, 356500.0, 356500.0, 356500.0, 356500.0]"
1412000094,61.KDTVN 部品在庫管理課_MP FY2027_各予定(Ver01).xlsx,60,5004086291,制服 ( đồng phục 2 áo+2 quần+ mũ+ giày) phân bổ từ 16 tháng trước đến 15 tháng hiện tại vào tháng hiện tại,1,"[""=33500+84000"", null, null, null, null, null, null, null, null, null, null, null]","[117500.0, null, null, null, null, null, null, null, null, null, null, null]"
1412000096,63.KDTVN ESD2課_MP FY2027_各予定(Ver01).xlsx,111,5004086291,新入社員　 制服上着(夏服)　       x2枚/人,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1412000096,63.KDTVN ESD2課_MP FY2027_各予定(Ver01).xlsx,112,5004086291,新入社員　制服上着(冬服)　        x2枚/人,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1412000096,63.KDTVN ESD2課_MP FY2027_各予定(Ver01).xlsx,113,5004086291,新入社員　 制服(ズボン)　 　x2枚/人,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1412000096,63.KDTVN ESD2課_MP FY2027_各予定(Ver01).xlsx,183,5004086291,制服上着（夏服）,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1412000096,63.KDTVN ESD2課_MP FY2027_各予定(Ver01).xlsx,184,5004086291,制服上着（冬服）,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1412000096,63.KDTVN ESD2課_MP FY2027_各予定(Ver01).xlsx,185,5004086291,制服ズボン,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
